storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
35,하도핑크,"https://mp-seoul-image-production-s3.mangoplate.com/1279529_1550403176756863.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 함덕/김녕 ,"16,227",8
36,상원가든,"https://mp-seoul-image-production-s3.mangoplate.com/210517/510078_1458352431066_1077?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 모슬포/화순 ,"36,164",18
37,해심가든,"https://mp-seoul-image-production-s3.mangoplate.com/15009/h70v8_wezv8wke.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 중문단지 ,"81,065",33
38,제레미,"https://mp-seoul-image-production-s3.mangoplate.com/335587/555873_1519530897207_7268?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 한림/애월 ,"25,194",13
39,엘코테,"https://mp-seoul-image-production-s3.mangoplate.com/511866_1635817532071731.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,스테이크 / 바베큐,제주 제주시내 ,"6,415",9
40,화성식당,"https://mp-seoul-image-production-s3.mangoplate.com/15328/1148532_1615533067507_13438?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"18,955",17
41,육고깃집,"https://mp-seoul-image-production-s3.mangoplate.com/321918/520723_1494897003428_210245?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 한림/애월 ,"26,340",10
42,바다를본돼지,"https://mp-seoul-image-production-s3.mangoplate.com/191731/2037323_1630219858878_5920?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 한림/애월 ,"11,069",15
43,하찌,"https://mp-seoul-image-production-s3.mangoplate.com/413536/548266_1624849733357_35660?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,회 / 스시,제주 서귀포시내 ,"18,946",8
44,코코메아,"https://mp-seoul-image-production-s3.mangoplate.com/445122/12258_1666421216095_1660897730728.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"3,257",5
45,서귀다원,"https://mp-seoul-image-production-s3.mangoplate.com/428199/1921380_1622124448598_26387?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 서귀포시내 ,"34,435",16
46,동선제면가,"https://mp-seoul-image-production-s3.mangoplate.com/425971/397785_1665234411558_33167?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,국수 / 면 요리,제주 서귀포시내 ,"5,208",8
47,비마이게스트,"https://mp-seoul-image-production-s3.mangoplate.com/973239_1625534444025346.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"24,514",15
48,선흘방주할머니식당,"https://mp-seoul-image-production-s3.mangoplate.com/153938/589620_1470816881176_40846?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"15,850",13
49,영해식당,"https://mp-seoul-image-production-s3.mangoplate.com/27597_1597219483696552.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 모슬포/화순 ,"12,404",13
50,은갈치김밥,"https://mp-seoul-image-production-s3.mangoplate.com/397084/14650_1626506364562_18012?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,기타 한식,제주 제주시내 ,"19,722",11
51,커피템플,"https://mp-seoul-image-production-s3.mangoplate.com/546909_1638867141711005.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"6,589",9
52,산지해장국,"https://mp-seoul-image-production-s3.mangoplate.com/278544/101492_1482920310333_20242?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 제주시내 ,"5,496",10
53,가는곶 세화,"https://mp-seoul-image-production-s3.mangoplate.com/1981833_1664180825207261.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,베이커리,제주 함덕/김녕 ,"3,689",8
54,제주약수터,"https://mp-seoul-image-production-s3.mangoplate.com/2094618_1655556712923670.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(올레시장점),제주 서귀포시내 ,"6,281",8
55,원담,"https://mp-seoul-image-production-s3.mangoplate.com/321443/777405_1494336083738_17291?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 제주시내 ,"8,118",15
56,해왓,"https://mp-seoul-image-production-s3.mangoplate.com/880231_1641308405371327.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 성산/우도 ,"12,107",9
57,리보스코화덕피자,"https://mp-seoul-image-production-s3.mangoplate.com/18517/101492_1469281401919_14648?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 제주시내 ,"5,127",8
58,풀사이드바,"https://mp-seoul-image-production-s3.mangoplate.com/220834/672829_1559469894672_28378?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(신라호텔제주),제주 중문단지 ,"13,697",8
59,금능샌드,"https://mp-seoul-image-production-s3.mangoplate.com/926525_1535469067765855.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"14,833",8
60,피즈,"https://mp-seoul-image-production-s3.mangoplate.com/430626/1253803_1600048952555_27927?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"9,000",10
61,코시롱,"https://mp-seoul-image-production-s3.mangoplate.com/221715/wukvhkzynxtz48.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,국수 / 면 요리,제주 제주시내 ,"10,034",10
62,갓포아키,"https://mp-seoul-image-production-s3.mangoplate.com/1182605_1661500147302080.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(제주도점),제주 제주시내 ,"4,078",6
63,정성듬뿍제주국,"https://mp-seoul-image-production-s3.mangoplate.com/766789_1523246630291253.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"5,792",6
64,숙성도,"https://mp-seoul-image-production-s3.mangoplate.com/933725_1664425118130758.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(함덕점),제주 함덕/김녕 ,737,4
65,다운타우너,"https://mp-seoul-image-production-s3.mangoplate.com/2229495_1656418292841963.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(제주점),제주 한림/애월 ,"3,727",5
66,명진전복,"https://mp-seoul-image-production-s3.mangoplate.com/619788_1509614607347655.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 함덕/김녕 ,"219,503",203
67,피어22,"https://mp-seoul-image-production-s3.mangoplate.com/262650/24871_1511242710239_16073?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 한림/애월 ,"207,479",91
68,우유부단,"https://mp-seoul-image-production-s3.mangoplate.com/260379/40403_1532084639907_19197?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 한림/애월 ,"42,421",78
69,그리운바다성산포,"https://mp-seoul-image-production-s3.mangoplate.com/704301_1499961447202432.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 성산/우도 ,"59,167",37
70,미남미녀 (휴업중),"https://mp-seoul-image-production-s3.mangoplate.com/664857_1498411155717180.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 중문단지 ,"60,564",14
71,송림반점,"https://mp-seoul-image-production-s3.mangoplate.com/1806055_1605497930761599.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,정통 중식 / 일반 중식,제주 제주시내 ,"41,106",21
72,ABC베이커리,"https://mp-seoul-image-production-s3.mangoplate.com/396208/871103_1563464170422_33461?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,베이커리,제주 제주시내 ,"27,992",15
73,아줄레주,"https://mp-seoul-image-production-s3.mangoplate.com/726810_1513264128652523.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 성산/우도 ,"16,807",22
74,토템오어,"https://mp-seoul-image-production-s3.mangoplate.com/1723486_1603883753873434.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 한림/애월 ,"13,209",12
75,더 캔버스,"https://mp-seoul-image-production-s3.mangoplate.com/495395_1626243062806774.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(롯데호텔제주점),제주 중문단지 ,"5,401",7
76,섬모라,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/68_1444891063216.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(제주해비치호텔),제주 표선/성읍 ,"27,702",15
77,김희선몸국,"https://mp-seoul-image-production-s3.mangoplate.com/1743214_1616980080612907.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"45,827",40
78,온오프,"https://mp-seoul-image-production-s3.mangoplate.com/134162_1504750272263937.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,까스 요리,제주 성산/우도 ,"15,410",17
79,오롯,"https://mp-seoul-image-production-s3.mangoplate.com/328713/553783_1513565638568_158891?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"26,537",14
80,운산식당,"https://mp-seoul-image-production-s3.mangoplate.com/232499/29726_1452157181557_26451?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,고기 요리,제주 제주시내 ,"20,454",13
81,광명식당,"https://mp-seoul-image-production-s3.mangoplate.com/153930/1180388_1588819236478_11034?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,탕 / 찌개 / 전골,제주 제주시내 ,"37,463",22
82,어니스트밀크 치즈룸,"https://mp-seoul-image-production-s3.mangoplate.com/679704_1624715704797187.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 성산/우도 ,"12,638",9
83,히노데,"https://mp-seoul-image-production-s3.mangoplate.com/15423/kuer-5tjtdkmgy.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 중문단지 ,"11,548",6
84,대포칼제비,"https://mp-seoul-image-production-s3.mangoplate.com/405642/1148532_1616127269815_13556?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,국수 / 면 요리,제주 서귀포시내 ,"14,018",10
85,큰돈가,"https://mp-seoul-image-production-s3.mangoplate.com/2068598_1648868181793000.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(중문점),제주 중문단지 ,"7,558",7
86,가스름식당,"https://mp-seoul-image-production-s3.mangoplate.com/1741085_1616662774206980.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,고기 요리,제주 표선/성읍 ,"18,019",15
87,순창갈비,"https://mp-seoul-image-production-s3.mangoplate.com/220006/fbxr7wndod7x93.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,고기 요리,제주 제주시내 ,"14,274",8
88,제주 하멜,"https://mp-seoul-image-production-s3.mangoplate.com/679704_1608777790433535.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,베이커리,제주 제주시내 ,"12,350",9
89,으뜨미,"https://mp-seoul-image-production-s3.mangoplate.com/388200/259007_1630142628633_13773?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"7,491",9
90,만선바다,"https://mp-seoul-image-production-s3.mangoplate.com/18434/140045_1448774490867_14289?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 제주시내 ,"9,542",7
91,감성돈,"https://mp-seoul-image-production-s3.mangoplate.com/450675/1176502_1648639606007_149001?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(제주협재점),제주 한림/애월 ,"3,799",6
92,도렐,"https://mp-seoul-image-production-s3.mangoplate.com/725024_1555502267426119.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 성산/우도 ,"122,263",155
93,88돼지,"https://mp-seoul-image-production-s3.mangoplate.com/18915/558856_1621165786962_433874?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 제주시내 ,"334,871",141
94,올래국수,"https://mp-seoul-image-production-s3.mangoplate.com/15199/384116_1456805642323_996?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 제주시내 ,"175,009",241
95,신산리마을카페,"https://mp-seoul-image-production-s3.mangoplate.com/1508867_1618540936642186.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 성산/우도 ,"140,536",76
96,춘심이네,"https://mp-seoul-image-production-s3.mangoplate.com/736760_1582441093282101.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 모슬포/화순 ,"184,483",92
97,국수만찬,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/460278_1465163150840758.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,국수 / 면 요리,제주 제주시내 ,"192,847",97
98,블랑로쉐,"https://mp-seoul-image-production-s3.mangoplate.com/220955/27066_1485015243054_30411?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 성산/우도 ,"45,218",70
99,오는정김밥,"https://mp-seoul-image-production-s3.mangoplate.com/14998/mgo_kvotx2puli.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,기타 한식,제주 서귀포시내 ,"109,317",135
100,뽈살집,"https://mp-seoul-image-production-s3.mangoplate.com/333417_1629378581577537.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 서귀포시내 ,"90,012",58
101,더파크뷰,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1452169538287.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,뷔페,제주 중문단지 ,"33,291",32
102,마노커피하우스,"https://mp-seoul-image-production-s3.mangoplate.com/59110_1642087840848000.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 중문단지 ,"10,716",9
103,바그다드,"https://mp-seoul-image-production-s3.mangoplate.com/1134012_1580715215465877.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,인도 음식,제주 제주시내 ,"85,651",65
104,닻,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/58228_1462029994540594.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,일반 주점,제주 한림/애월 ,"97,111",35
105,랜디스도넛,"https://mp-seoul-image-production-s3.mangoplate.com/573810_1641303627133871.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(제주직영점),제주 한림/애월 ,"17,236",32
106,은희네해장국,"https://mp-seoul-image-production-s3.mangoplate.com/15402/1482016_1610927340941_4907?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,탕 / 찌개 / 전골,제주 제주시내 ,"88,432",84
107,플레이스엉물,"https://mp-seoul-image-production-s3.mangoplate.com/327913_1528379459757406.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 함덕/김녕 ,"21,912",20
108,풍로,"https://mp-seoul-image-production-s3.mangoplate.com/444240/1151020_1657421953846_10207?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 모슬포/화순 ,"6,010",7
109,카페록록,"https://mp-seoul-image-production-s3.mangoplate.com/387976_1593845486413776.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 함덕/김녕 ,"11,395",18
110,한라산아래첫마을영농조합법인,"https://mp-seoul-image-production-s3.mangoplate.com/27597_1628207341810103.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 모슬포/화순 ,"13,238",15
111,아베베베이커리,"https://mp-seoul-image-production-s3.mangoplate.com/835806_1651459690756375.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,베이커리,제주 제주시내 ,"8,373",13
112,물항식당,"https://mp-seoul-image-production-s3.mangoplate.com/290723_1619258218823222.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(탑동점),제주 제주시내 ,"40,816",25
113,5L2F,"https://mp-seoul-image-production-s3.mangoplate.com/511866_1607770771901882.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 함덕/김녕 ,"5,774",7
114,금박돈,"https://mp-seoul-image-production-s3.mangoplate.com/729413_1613921421975676.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 성산/우도 ,"30,683",19
115,스시우다,"https://mp-seoul-image-production-s3.mangoplate.com/702118_1639660586958844.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,회 / 스시,제주 제주시내 ,"8,696",11
116,솔지식당,"https://mp-seoul-image-production-s3.mangoplate.com/584169_1528792861237413.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 제주시내 ,"50,967",34
117,고이정,"https://mp-seoul-image-production-s3.mangoplate.com/1762253_1597049602985655.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 한림/애월 ,"14,013",16
118,낭뜰에쉼팡,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1452263046630.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"27,428",24
119,무상찻집 (휴업중),"https://mp-seoul-image-production-s3.mangoplate.com/351197/1247423_1606054332507_92421?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 제주시내 ,"13,685",9
120,판타스틱버거,"https://mp-seoul-image-production-s3.mangoplate.com/598583_1642572870685017.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,브런치 / 버거 / 샌드위치,제주 표선/성읍 ,"8,908",15
